epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,227.431,0.97383,0.94726,0.97737,0.94565,0.96698,0.98084,0.72671,0.97279,0.93833,0.97851,0.000480773,0.000480773,0.000480773
43,232.881,1.00286,0.96229,0.99018,0.94121,0.96022,0.98134,0.72758,0.96333,0.94149,0.97181,0.000478938,0.000478938,0.000478938
44,238.329,0.98552,0.96961,0.97636,0.92499,0.97272,0.99213,0.74441,0.96779,0.94409,0.96781,0.000477104,0.000477104,0.000477104
45,243.749,0.97144,0.9154,0.96868,0.94993,0.9743,0.99101,0.75353,1.00124,0.92246,0.97425,0.000475269,0.000475269,0.000475269
46,249.323,0.95546,0.91919,0.98552,0.95006,0.97131,0.99291,0.76048,0.94682,0.93608,0.96265,0.000473434,0.000473434,0.000473434
47,255.118,0.95625,0.89824,0.96171,0.95065,0.97105,0.99367,0.75054,0.94552,0.94912,0.95711,0.000471599,0.000471599,0.000471599
48,260.739,0.98238,0.96133,0.97527,0.95722,0.97097,0.9926,0.74673,0.96573,0.92565,0.96559,0.000469764,0.000469764,0.000469764
49,266.314,0.95867,0.90099,0.96597,0.95725,0.96753,0.99077,0.75897,0.97794,0.94795,0.97159,0.00046793,0.00046793,0.00046793
50,271.835,0.96296,0.9133,0.96589,0.96463,0.97074,0.99313,0.74937,0.9733,0.89459,0.97049,0.000466095,0.000466095,0.000466095
51,277.364,0.9817,0.92861,0.96832,0.97042,0.96666,0.99389,0.74826,0.96952,0.88529,0.97297,0.00046426,0.00046426,0.00046426
52,283.239,0.9473,0.89481,0.96286,0.96549,0.98931,0.99476,0.75533,0.94722,0.84508,0.95666,0.000462425,0.000462425,0.000462425
53,289.356,0.93918,0.90693,0.96296,0.94995,0.9911,0.99038,0.75127,0.95615,0.87438,0.96447,0.00046059,0.00046059,0.00046059
54,295.239,0.95404,0.89139,0.95777,0.96893,0.96787,0.99278,0.7467,0.95059,0.88649,0.95783,0.000458756,0.000458756,0.000458756
55,301.098,0.95174,0.87536,0.95662,0.96757,0.97841,0.99213,0.74782,0.94194,0.86651,0.95419,0.000456921,0.000456921,0.000456921
56,306.508,0.91987,0.85697,0.94928,0.95448,0.96557,0.99175,0.75693,0.93149,0.85995,0.94497,0.000455086,0.000455086,0.000455086
57,311.941,0.9222,0.89108,0.9595,0.96031,0.96745,0.99107,0.75901,0.96545,0.84629,0.94796,0.000453251,0.000453251,0.000453251
58,317.381,0.92119,0.86146,0.95328,0.93665,0.96857,0.98893,0.73471,1.01223,0.89908,0.95557,0.000451416,0.000451416,0.000451416
59,322.832,0.99095,0.86882,0.96071,0.94322,0.97387,0.98947,0.73628,1.02696,0.89682,0.96013,0.000449582,0.000449582,0.000449582
60,328.313,0.96732,0.90522,0.96385,0.96512,0.9806,0.99415,0.75081,0.98018,0.84293,0.9533,0.000447747,0.000447747,0.000447747
61,333.834,0.93377,0.85261,0.96078,0.9682,0.9795,0.99456,0.76121,0.95546,0.82776,0.94874,0.000445912,0.000445912,0.000445912
62,339.308,0.93357,0.83936,0.95191,0.96608,0.98123,0.99453,0.76362,0.9408,0.84275,0.94246,0.000444077,0.000444077,0.000444077
63,344.934,0.93539,0.84644,0.94356,0.95634,0.98013,0.99437,0.75794,0.96285,0.86454,0.94393,0.000442242,0.000442242,0.000442242
64,350.35,0.9682,0.84274,0.95199,0.96173,0.98243,0.99348,0.75411,0.98917,0.87233,0.95707,0.000440408,0.000440408,0.000440408
65,355.875,0.93965,0.83126,0.94826,0.95142,0.97728,0.9931,0.76273,0.96966,0.8703,0.95656,0.000438573,0.000438573,0.000438573
66,361.388,0.90828,0.81468,0.94873,0.95762,0.98043,0.99314,0.76625,0.96138,0.86761,0.95149,0.000436738,0.000436738,0.000436738
67,366.841,0.92558,0.86177,0.95366,0.95571,0.9784,0.99339,0.75441,0.96792,0.86274,0.96233,0.000434903,0.000434903,0.000434903
68,372.44,0.95915,0.82095,0.95349,0.96671,0.97585,0.99377,0.74205,0.98622,0.87885,0.95967,0.000433068,0.000433068,0.000433068
69,378.238,0.94281,0.8283,0.95131,0.97032,0.97397,0.99317,0.7546,0.95834,0.85629,0.95631,0.000431234,0.000431234,0.000431234
70,383.943,0.89847,0.79959,0.9365,0.96052,0.98165,0.99317,0.7434,0.96434,0.85792,0.95242,0.000429399,0.000429399,0.000429399
71,389.444,0.92484,0.87095,0.9575,0.96429,0.97745,0.9939,0.74616,0.96777,0.85199,0.94917,0.000427564,0.000427564,0.000427564
72,394.905,0.92061,0.81069,0.9393,0.97669,0.97309,0.99419,0.75593,0.92173,0.84258,0.94729,0.000425729,0.000425729,0.000425729
73,400.703,0.90108,0.80064,0.95014,0.9722,0.96926,0.99391,0.75737,0.92412,0.83305,0.94504,0.000423894,0.000423894,0.000423894
74,406.599,0.91081,0.79352,0.95498,0.97193,0.96435,0.99227,0.76017,0.9431,0.84447,0.95058,0.00042206,0.00042206,0.00042206
75,412.515,0.90132,0.78727,0.94696,0.96272,0.96877,0.99193,0.76077,0.9538,0.83328,0.9595,0.000420225,0.000420225,0.000420225
76,418.361,0.90619,0.80025,0.94518,0.96933,0.98028,0.994,0.76022,0.93829,0.79008,0.95576,0.00041839,0.00041839,0.00041839
77,424.303,0.90652,0.8191,0.95953,0.96118,0.97489,0.99418,0.75387,0.92483,0.80323,0.94713,0.000416555,0.000416555,0.000416555
78,430.164,0.89667,0.78193,0.93776,0.9717,0.97701,0.99447,0.75591,0.93728,0.80351,0.94562,0.00041472,0.00041472,0.00041472
79,436.02,0.90893,0.78691,0.95028,0.96395,0.97805,0.9946,0.76361,0.925,0.78958,0.94622,0.000412886,0.000412886,0.000412886
80,441.922,0.89803,0.77898,0.94073,0.96726,0.98569,0.99476,0.76095,0.91541,0.78608,0.93146,0.000411051,0.000411051,0.000411051
81,447.63,0.90857,0.78545,0.93584,0.94838,0.97474,0.99475,0.74856,0.92543,0.80665,0.92569,0.000409216,0.000409216,0.000409216
82,453.103,0.90951,0.79259,0.94416,0.95351,0.97593,0.99324,0.745,0.94328,0.80658,0.93552,0.000407381,0.000407381,0.000407381
83,458.69,0.87187,0.75814,0.9327,0.95935,0.98743,0.9946,0.75387,0.93446,0.78203,0.93517,0.000405546,0.000405546,0.000405546
84,464.293,0.86754,0.76204,0.93049,0.97406,0.97479,0.995,0.75541,0.94858,0.78396,0.94019,0.000403712,0.000403712,0.000403712
85,469.89,0.8889,0.75168,0.93043,0.96608,0.98457,0.99415,0.74476,1.00504,0.80162,0.95193,0.000401877,0.000401877,0.000401877
86,475.563,0.94477,0.78769,0.94742,0.96512,0.984,0.9937,0.73897,0.99357,0.81164,0.95804,0.000400042,0.000400042,0.000400042
87,481.375,0.8865,0.76663,0.95661,0.9715,0.98374,0.99398,0.74754,0.9515,0.7906,0.95076,0.000398207,0.000398207,0.000398207
88,487.278,0.91172,0.768,0.9365,0.97639,0.98353,0.99451,0.7425,0.94927,0.77175,0.94205,0.000396372,0.000396372,0.000396372
89,493.267,0.88902,0.7492,0.93958,0.97513,0.98585,0.9946,0.75863,0.91909,0.77036,0.92988,0.000394538,0.000394538,0.000394538
90,499.113,0.89549,0.76671,0.93912,0.96656,0.98699,0.99475,0.7693,0.90742,0.75812,0.92763,0.000392703,0.000392703,0.000392703
